Tue Oct 10 2023 14:25:26 GMT+0100 (British Summer Time) | Blog Upload | [SUCCESS] | Called convert HTML function
Tue Oct 10 2023 14:25:26 GMT+0100 (British Summer Time) | Blog Upload | [SUCCESS] | Saved HTML file
Tue Oct 10 2023 14:25:26 GMT+0100 (British Summer Time) | Blog Upload | [SUCCESS] | Removed .docx file from local storage
Tue Oct 10 2023 14:25:26 GMT+0100 (British Summer Time) | Blog Upload | [SUCCESS] | Sent success html doc to 
Tue Oct 10 2023 14:26:19 GMT+0100 (British Summer Time) | Blog Upload | [SUCCESS] | Called convert HTML function
Tue Oct 10 2023 14:40:32 GMT+0100 (British Summer Time) | Blog Upload | [SUCCESS] | Called convert HTML function
Tue Oct 10 2023 14:42:08 GMT+0100 (British Summer Time) | Blog Upload | [SUCCESS] | Called convert HTML function
Tue Oct 10 2023 14:43:04 GMT+0100 (British Summer Time) | Blog Upload | [SUCCESS] | Called convert HTML function
Tue Oct 10 2023 14:43:38 GMT+0100 (British Summer Time) | Blog Upload | [SUCCESS] | Called convert HTML function
Tue Oct 10 2023 14:43:50 GMT+0100 (British Summer Time) | Blog Upload | [SUCCESS] | Called convert HTML function
Tue Oct 10 2023 14:45:31 GMT+0100 (British Summer Time) | Blog Upload | [SUCCESS] | Called convert HTML function
Tue Oct 10 2023 14:48:38 GMT+0100 (British Summer Time) | Blog Upload | [SUCCESS] | called function to create html file
Tue Oct 10 2023 14:48:38 GMT+0100 (British Summer Time) | Blog Upload | [SUCCESS] | Called convert HTML function
Tue Oct 10 2023 14:48:38 GMT+0100 (British Summer Time) | Blog Upload | [SUCCESS] | Saved HTML file
Tue Oct 10 2023 14:48:38 GMT+0100 (British Summer Time) | Blog Upload | [SUCCESS] | Removed .docx file from local storage
Tue Oct 10 2023 14:48:38 GMT+0100 (British Summer Time) | Blog Upload | [SUCCESS] | Sent success html doc to 
Tue Oct 10 2023 14:49:05 GMT+0100 (British Summer Time) | Blog Upload | [SUCCESS] | called function to create html file
Tue Oct 10 2023 14:49:05 GMT+0100 (British Summer Time) | Blog Upload | [SUCCESS] | Called convert HTML function
Tue Oct 10 2023 14:49:05 GMT+0100 (British Summer Time) | Blog Upload | [ERROR] | Generating HTML file: [object Object]
Tue Oct 10 2023 14:49:05 GMT+0100 (British Summer Time) | Blog Upload | [ERROR] | Generating HTML file: [object Object]
Tue Oct 10 2023 14:49:05 GMT+0100 (British Summer Time) | Blog Upload | [ERROR] | Generating HTML file: [object Object]
Tue Oct 10 2023 14:49:05 GMT+0100 (British Summer Time) | Blog Upload | [SUCCESS] | Saved HTML file
Tue Oct 10 2023 14:49:05 GMT+0100 (British Summer Time) | Blog Upload | [SUCCESS] | Removed .docx file from local storage
Tue Oct 10 2023 14:49:05 GMT+0100 (British Summer Time) | Blog Upload | [SUCCESS] | Sent success html doc to 
Tue Oct 10 2023 15:02:22 GMT+0100 (British Summer Time) | Blog Upload | [SUCCESS] | Called convert HTML function
Tue Oct 10 2023 15:07:29 GMT+0100 (British Summer Time) | Blog Upload | [SUCCESS] | called function to create html file
Tue Oct 10 2023 15:07:29 GMT+0100 (British Summer Time) | Blog Upload | [SUCCESS] | Called convert HTML function
Tue Oct 10 2023 15:07:30 GMT+0100 (British Summer Time) | Blog Upload | [SUCCESS] | Sent success html doc to 
Tue Oct 10 2023 15:07:59 GMT+0100 (British Summer Time) | Blog Upload | [SUCCESS] | called function to create html file
Tue Oct 10 2023 15:07:59 GMT+0100 (British Summer Time) | Blog Upload | [SUCCESS] | Called convert HTML function
Tue Oct 10 2023 15:07:59 GMT+0100 (British Summer Time) | Blog Upload | [SUCCESS] | Sent success html doc to 
Tue Oct 10 2023 15:12:17 GMT+0100 (British Summer Time) | Blog Upload | [SUCCESS] | data ready to post to process reCAPTCHA
Tue Oct 10 2023 15:12:17 GMT+0100 (British Summer Time) | Blog Upload | [SUCCESS] | recieved data from reCAPCTHA
Tue Oct 10 2023 15:12:17 GMT+0100 (British Summer Time) | Blog Upload | [SUCCESS] | User passed reCAPTCHA
Tue Oct 10 2023 15:12:17 GMT+0100 (British Summer Time) | Blog Upload | [SUCCESS] | User passed so sent email to them
Tue Oct 10 2023 15:12:28 GMT+0100 (British Summer Time) | Blog Upload | [SUCCESS] | called function to create html file
Tue Oct 10 2023 15:12:28 GMT+0100 (British Summer Time) | Blog Upload | [SUCCESS] | Called convert HTML function
Tue Oct 10 2023 15:12:29 GMT+0100 (British Summer Time) | Blog Upload | [SUCCESS] | Sent success html as text to client
Sun Oct 29 2023 15:06:11 GMT+0000 (Greenwich Mean Time) | Blog Upload | [SUCCESS] | data ready to post to process reCAPTCHA
Sun Oct 29 2023 15:06:11 GMT+0000 (Greenwich Mean Time) | Blog Upload | [SUCCESS] | recieved data from reCAPCTHA
Sun Oct 29 2023 15:06:11 GMT+0000 (Greenwich Mean Time) | Blog Upload | [SUCCESS] | User passed reCAPTCHA
Sun Oct 29 2023 15:06:11 GMT+0000 (Greenwich Mean Time) | Blog Upload | [SUCCESS] | User passed so sent email to them
Tue Oct 31 2023 21:12:37 GMT+0000 (Greenwich Mean Time) | Blog Upload | [SUCCESS] | called function to create html file
Tue Oct 31 2023 21:12:37 GMT+0000 (Greenwich Mean Time) | Blog Upload | [SUCCESS] | Called convert HTML function
Tue Oct 31 2023 21:12:37 GMT+0000 (Greenwich Mean Time) | Blog Upload | [SUCCESS] | Sent html as text to client
Tue Oct 31 2023 21:13:06 GMT+0000 (Greenwich Mean Time) | Blog Upload | [SUCCESS] | data ready to post to process reCAPTCHA
Tue Oct 31 2023 21:13:06 GMT+0000 (Greenwich Mean Time) | Blog Upload | [SUCCESS] | recieved data from reCAPCTHA
Tue Oct 31 2023 21:13:06 GMT+0000 (Greenwich Mean Time) | Blog Upload | [SUCCESS] | User passed reCAPTCHA
Tue Oct 31 2023 21:13:06 GMT+0000 (Greenwich Mean Time) | Blog Upload | [SUCCESS] | User passed so sent email to them
